round,train_loss,train_acc,train_top5,val_loss,val_acc,val_top5,round_time,throughput,num_samples,active_workers
1,4.799555087738038,0.04705,0.15357,4.720464685058594,0.0595,0.1782,3065.7960410118103,32.617955879086075,100000,2
2,4.16488167098999,0.1128,0.30184,3.89289753074646,0.1472,0.368,1598.4488394260406,62.56065100957956,100000,2
3,3.7630388343429564,0.16707,0.40015,3.497263521194458,0.2119,0.4633,1591.2750277519226,62.842687942684066,100000,2
4,3.4921227502441408,0.20851,0.46379,3.287469744491577,0.2429,0.5117,1594.8571860790253,62.701538967166805,100000,2
5,3.2834856649780275,0.24416,0.51368,3.1647081336975096,0.2697,0.5404,1590.1310815811157,62.8878972044034,100000,2
6,3.1013095628356933,0.27671,0.55482,2.9524275592803955,0.3116,0.5808,1592.7737267017365,62.783556963283615,100000,2
7,2.949146968574524,0.30733,0.58829,2.9018332122802732,0.3201,0.5981,1592.4019227027893,62.79821606235544,100000,2
8,2.819021090812683,0.33042,0.61471,2.8310027462005616,0.3261,0.6113,1583.1054966449738,63.166984267268916,100000,2
9,2.70035052444458,0.35413,0.63831,2.6838525897979735,0.3611,0.6408,1585.4536364078522,63.07343065961177,100000,2
10,2.594957339630127,0.37682,0.66123,2.6407836235046385,0.3719,0.6488,1585.3851046562195,63.07615714712064,100000,2
