epoch,cost,train,test,epoch_time,total_time,lr
0,1.395430982017517,0.69086,0.655,888.4742007255554,888.4742012023926,5e-05
1,1.365066840171814,0.77143,0.666,796.1804616451263,1684.6821682453156,5e-05
2,1.3514690145492554,0.82971,0.6729,628.7241070270538,2313.445427417755,5e-05
3,1.3648350601196289,0.87485,0.6707,625.2690958976746,2938.750248193741,5e-05
4,1.3964855976104735,0.91073,0.6745,624.0587184429169,3562.809108734131,5e-05
5,1.3935103078842164,0.95355,0.6764,628.1081669330597,4190.947360754013,2.5e-05
6,1.3992002948760986,0.96936,0.6793,626.3863122463226,4817.364221334457,2.5e-05
7,1.4195560007095336,0.97929,0.6785,630.9795522689819,5448.383578300476,2.5e-05
8,1.4475273254394532,0.98557,0.6761,628.7396740913391,6077.123353004456,2.5e-05
9,1.4760206018447877,0.99025,0.6754,628.9855983257294,6706.109071016312,2.5e-05
10,1.4636274536132812,0.99436,0.6804,628.8299171924591,7334.939127206802,1.25e-05
11,1.476003044128418,0.99668,0.682,627.9837188720703,7962.956784963608,1.25e-05
12,1.4986984489440918,0.99754,0.6839,632.6727945804596,8595.658389091492,1.25e-05
13,1.5030998920440675,0.99836,0.6832,632.6083040237427,9228.305222511292,1.25e-05
14,1.5134021530151367,0.9986,0.6823,626.1180341243744,9854.423363924026,1.25e-05
15,1.5149584154129028,0.99915,0.6857,626.787929058075,10481.211430311203,6.25e-06
16,1.5245677534103395,0.99925,0.6863,628.308525800705,11109.54852104187,6.25e-06
17,1.5270226558685303,0.99941,0.6844,630.2228646278381,11739.806412696838,6.25e-06
18,1.535073782348633,0.99961,0.6844,629.6635618209839,12369.470092773438,6.25e-06
19,1.5371085357666017,0.99954,0.685,630.6082282066345,13000.078450918198,6.25e-06
